Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
87,FRS 2,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
88,FRS3-PR,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
89,FRS4-PR,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
90,FRS 5,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
91,FRS 6,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
92,FRS 7,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
93,FRS 8,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
94,FRS 9,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
95,FRS 10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
96,FRS 11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
97,FRS 12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
98,FRS 13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
99,FRS 14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
100,FRS 15,462.550000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
101,FRS 16,462.575000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
102,FRS 17,462.600000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
103,FRS 18,462.625000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
104,FRS 19,462.650000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
105,FRS 21,462.700000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
106,FRS 22,462.725000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
107,VHF-EST,145.600000,-,0.600000,Tone,114.8,88.5,023,NN,NFM,5.00,,,,,,
108,VHF-CAS,145.600000,-,0.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
109,VHF-LIS,145.625000,-,0.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
110,VHF-GAR,145.637500,-,0.600000,Tone,114.8,88.5,023,NN,NFM,5.00,,,,,,
111,VHF-FOI,145.650000,-,0.600000,Tone,82.5,88.5,023,NN,NFM,5.00,,,,,,
112,VHF-ODI,145.675000,-,0.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
113,VHF-LOU,145.675000,-,0.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
114,VHF-ENT,145.687500,-,0.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
115,VHF-LOU,145.700000,-,0.600000,Tone,82.5,88.5,023,NN,NFM,5.00,,,,,,
116,VHF-SIN,145.712500,-,0.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
117,VHF-ARR,145.737500,-,0.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
118,VHF-MON,145.750000,-,0.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
119,VHF-AMA,145.775000,-,0.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
120,VHF-DES,145.650000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
122,P4-14-D,446.043750,-,5.000000,TSQL,107.2,107.2,023,NN,NFM,5.00,,,,,,
125,EM-FAP,147.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
126,EM-PMR8,446.093750,,0.000000,Tone,114.8,88.5,023,NN,NFM,5.00,,,,,,
127,EM-FRS2,462.675000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
